,Code,Cost,CostInt,Enterprise,Frequency
0,90,9000VNĐ/lượt,9000,Xí Nghiệp Xe Buýt Yên Viên,20 phút/chuyến
0,08BCT,7000VNĐ/lượt,7000,Công ty CPVT & DV Liên Ninh,20 phút/Chuyến
0,52A,8000VNĐ/lượt,8000,Trung tâm Tân Đạt,17 - 25 phút/chuyến
0,20A,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Thăng Long,20 phút/chuyến
0,16,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Thăng Long,10 phút/chuyến
0,04,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Hà Nội,12 - 20 - 24 phút/chuyến
0,08A,7000VNĐ/lượt,7000,Công ty CPVT & DV Liên Ninh,10 -15 phút/chuyến
0,30,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Thăng Long,10 - 15 - 20 phút/chuyến
0,14,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Thăng Long,10 - 15 - 20 phút/chuyến
0,98,7000VNĐ/lượt,7000,Xí Nghiệp Xe Khách Nam,20 - 25 - 30 phút/ chuyến
0,86,30000VNĐ/lượt,30000,Xí Nghiệp Xe Buýt Yên Viên,25 phút/Chuyến
0,96,9000VNĐ/lượt,9000,Trung tâm Tân Đạt,20 - 25 - 30 phút/chuyến
0,23,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Hà Nội,15 - 20 phút/chuyến
0,55B,7000VNĐ/lượt,7000,Công ty cổ phần xe điện,18-22 phút/chuyến
0,17,9000VNĐ/lượt,9000,Xí Nghiệp Xe Buýt Hà Nội,10 -15-20 phút/chuyến
0,63,8000VNĐ/lượt,8000,Xí Nghiệp Xe Khách Nam,15-20 phút/Chuyến
0,40,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Yên Viên,12 phút/chuyến
0,61,8000VNĐ/lượt,8000,"Công ty TNHH Du lịch dịch vụ xây dựng Bảo Yến
",10 - 15 phút/chuyến
0,26,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Thăng Long,5- 10 - 15 phút/chuyến
0,02,7000VNĐ/lượt,7000,Xí nghiệp Xe buýt nhanh BRT Hà Nội,5 -10- 15 phút/chuyến
0,22C,7000VNĐ/lượt,7000,Xí nghiệp xe Buýt Cầu Bươu,20- 30 phút/chuyến
0,09CT,7000VNĐ/lượt,7000,Công ty CPVT & DV Liên Ninh,14-20 phút/chuyến
0,52B,9000VNĐ/lượt,9000,Trung tâm Tân Đạt,28 phút/chuyến
0,06A,9000VNĐ/lượt,9000,Xí Nghiệp Xe Buýt Hà Nội,10 - 15 phút/chuyến
0,14CT,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Thăng Long,10-15-20 phút/chuyến
0,43,8000VNĐ/lượt,8000,"Chi nhánh công ty TNHH Bắc Hà
",10 - 15 - 20 phút/chuyến
0,37,7000VNĐ/lượt,7000,Công ty CPVT & DV Liên Ninh,11 - 20 phút/chuyến
0,85,7000VNĐ/lượt,7000,Xí nghiệp xe Buýt Cầu Bươu,20-25 phút/chuyến
0,106,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Thăng Long,20 - 30 phút/chuyến
0,60B,8000VNĐ/lượt,8000,"Công ty TNHH Du lịch dịch vụ xây dựng Bảo Yến
",10 - 15 phút/chuyến
0,103,9000VNĐ/lượt,9000,Xí nghiệp xe Buýt Cầu Bươu,20 - 30 phút/chuyến
0,20B,9000VNĐ/lượt,9000,Xí Nghiệp Xe Buýt Thăng Long,22- 30 phút/chuyến
0,06B,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Hà Nội,40 phút/Chuyến
0,21B,7000VNĐ/lượt,7000,Công ty CPVT & DV Liên Ninh,10-15-20 phút/chuyến
0,03B,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Yên Viên,30 phút/Chuyến
0,35B,7000VNĐ/lượt,7000,Công ty cổ phần xe điện,15-20 phút/chuyến
0,BRT01,7000VNĐ/lượt,7000,Xí nghiệp Xe buýt nhanh BRT Hà Nội,5 - 10 - 15 phút/chuyến
0,101,9000VNĐ/lượt,9000,Trung tâm Tân Đạt,22 - 30 phút/chuyến
0,56B,7000VNĐ/lượt,7000,Công ty cổ phần xe điện,30 - 35 phút/chuyến
0,62,7000VNĐ/lượt,7000,Trung tâm Tân Đạt,15 phút/Chuyến
0,88,9000VNĐ/lượt,9000,Xí Nghiệp Xe Khách Nam,20 phút/chuyến
0,49,7000VNĐ/lượt,7000,Công ty Cổ phẩn xe khách,15 - 20 phút/chuyến
0,11,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Hà Nội,10 - 12 - 15 phút/chuyến
0,31,7000VNĐ/lượt,7000,Xí Nghiệp Buýt 10-10,10 - 15 - 20 phút/chuyến
0,33,7000VNĐ/lượt,7000,Xí Nghiệp Buýt 10-10,16 - 20 phút/chuyến
0,15,9000VNĐ/lượt,9000,Xí Nghiệp Xe Buýt Hà Nội,10 -15 phút/chuyến
0,20C,9000VNĐ/lượt,9000,Xí Nghiệp Buýt 10-10,45-50 phút/chuyến
0,47A,7000VNĐ/lượt,7000,Công ty CPVT Newway,15-20-30 phút/chuyến
